情绪标签,时间,性别,评论
负面,2024-04-24 07:58:44 北京时间,女,回复 @我是麻中蓬的狗 : 分地区吧，我们这边倒不会说用道德审判啥的，反而是会羡慕有老啃的人。我也不在乎别人的看法，自己过的开心比什么都好
负面,2024-04-24 16:55:59 北京时间,保密,回复 @我是你们的老亚索 :他们有父辈帮衬的，也是另外一种啃老
负面,2024-04-24 19:11:50 北京时间,保密,回复 @玛尔蒂娜 : 确实
中立,2024-04-24 19:27:02 北京时间,保密,回复 @我是麻中蓬的狗 :辞职在家躺半年了，我爸妈挺理解当代年轻人生存环境的，而且对我啃老行为表示无所谓，甚至还找人联系姑娘给我相亲[笑哭]
正面,2024-04-25 02:10:17 北京时间,保密,确实能，我现在每个月会给母亲3000贴家，给父亲1000做零花钱。我打算好好给他们养老，这是我现在活着的唯一信念和责任。
正面,2024-04-25 02:34:30 北京时间,保密,啃老不可耻，可耻的是你没钱生我干嘛
负面,2024-04-25 04:25:59 北京时间,保密,回复 @原力敏 :还是你更可耻哈哈哈
负面,2024-04-25 10:28:11 北京时间,保密,回复 @薄利香葱 :加一现在摆烂
中立,2024-04-27 16:12:44 北京时间,男,我53了，更能体会到
中立,2024-04-28 09:18:33 北京时间,男,我感悟出来了。要是心情不好呀，养儿还可以安慰安慰。
中立,2024-04-29 13:30:25 北京时间,保密,回复 @薄利香葱 : 哈哈，没工作的时候，感觉在他们看来这是该天打雷劈的[嗑瓜子][嗑瓜子]
负面,2024-05-03 03:23:23 北京时间,保密,养老我现在养自己都困难了，我都不知道我还能不能养好父母
负面,2024-05-03 03:48:51 北京时间,保密,回复 @凌繩 :养活自己和父母没问题，但是我连自己的欲望都满足不了，而且还不需要我养
中立,2024-05-03 04:23:44 北京时间,保密,养儿啃老[妙啊]
负面,2024-05-03 10:40:13 北京时间,保密,回复 @我是麻中蓬的狗 : 有钱富二代花天酒地啃老的很多啊 看到有钱人啃老你们那里人还敢瞎议论吗
中立,2024-05-03 10:43:42 北京时间,保密,回复 @我是麻中蓬的狗 : 虚假的啃老是找个普通工作住家里多双碗筷 真实的啃老是负债几百万去大城市买房 当然这些人可以觉得第二种才是有出息 但是掏空了钱包每月还贷的苦谁过谁知道 满足了炫耀后一地鸡毛罢了
中立,2024-05-03 16:49:03 北京时间,男,回复 @薄利香葱 : 不知道干什么的时候，从最基本的需求出发，吃好点，穿好点，考驾照，学爱好，总比什么都不干，强很多。没钱就攒钱，没时间，就留时间。不要考虑别人，先考虑自己。人生可以很复杂，也可以很简单。
正面,2024-05-04 00:43:33 北京时间,保密,一个儿子从出生到死，起码要啃你500万，我们科室的同事喊自己儿子喊吞金兽，可想而之
中立,2024-05-04 09:38:15 北京时间,保密,回复 @薄利香葱 :18岁的时候出来，现在都快十年了都准备回家，在外呆了这么久也只是维持了一份三四千的工作，一年牛马也剩不了多少，不如回家做点自己想做的事，城市太大我想回浪浪山
负面,2024-05-05 02:12:36 北京时间,保密,回复 @我是麻中蓬的狗 : 笑死，买房子买车子结婚才是真正的需要啃老
中立,2024-05-05 09:38:32 北京时间,保密,回复 @我是你们的老亚索 : 虚假的啃老，每天在父母家混吃混喝，不出去工作，没有对象，没有社交；真实的啃老，掏空六个钱包，背上30年房贷，每天早九晚五，天天上班，不敢病不敢休息[脱单doge]
中立,2024-05-06 14:44:15 北京时间,保密,可以的，为啥不可以养儿防老？只要父母闭嘴不喊你努力，不喊你上进，不喊你结婚生娃啥子问题都能解决。因为每一样都在耗光你的财富，让这一切成为泡影。最终生存都会成为奢望
负面,2024-05-11 05:29:02 北京时间,保密,哈哈哈
中立,2024-05-11 22:56:32 北京时间,男,回复 @我是你们的老亚索 : 那也要家里有资源才能啃啊 [笑哭]
中立,2024-05-12 13:14:08 北京时间,保密,回复 @薄利香葱 : 啃老是年轻人对社会现实的无奈，绝非自愿如此。
中立,2024-05-12 13:55:15 北京时间,男,回复 @薄利香葱 : 打工，租个单间，凑台电脑，开摆
中立,2024-05-16 01:57:56 北京时间,保密,未成年是0-18岁，你20多年，刚成年，还用不到你防
负面,2024-05-16 01:58:54 北京时间,保密,回复 @我是麻中蓬的狗 :应该的呀
中立,2024-05-16 02:49:12 北京时间,保密,回复 @玛尔蒂娜 : 你那个叫寄生，废宅，家里蹲，我这种上着班领着微薄工资爆金币买车房结婚的才是啃老[滑稽]
负面,2024-05-16 03:14:08 北京时间,男,回复 @嬉戏喜兮 :无老可啃，只能辛苦买房买车了。恩不过还好，我还完贷款了。
中立,2024-05-17 02:47:09 北京时间,保密,回复 @玛尔蒂娜 :想啃老都得你父母有雄厚的财富累积[吃瓜]，我反正是没资格享受了，我也不想有个逆子来享受我的，不生就是最大的放过
中立,2024-05-25 15:02:19 北京时间,女,"回复 @那蓝真天 :我跟我爸爸聊人口和生育的时候，发现我爸就是这样的心理（如果有孩子的话就算住养老院，护工不敢做得太离谱），所以我们家三个小孩,会不会国家就是指望一部分人抱着这样的心理增加人口，所以不会大力去监管养老院的事情,如果几十年之后，大众坚决不生 养老院需求极大，国家应该会大力去完善养老院相关的制度吧……我想表达的是 也许未来我们不用太担心没后代我们怎么办"
正面,2024-05-27 10:13:58 北京时间,男,对
中立,2024-05-29 06:05:34 北京时间,保密,回复 @玛尔蒂娜 :我现在赚钱都养不起自己。[喜极而泣]
正面,2024-06-02 09:04:02 北京时间,女,曾经批判啃老，现在庆幸有老可以啃，毕竟一个月三千块只够饿不死
负面,2024-06-06 06:53:01 北京时间,保密,回复 @bili_1549400375 :是的哈哈哈
负面,2024-06-10 04:27:41 北京时间,保密,回复 @我是你们的老亚索 :现在没人谈啃老了.有老可啃也是让人眼红的，
正面,2024-06-12 15:43:36 北京时间,保密,你这句话说的精辟
正面,2024-06-17 20:21:21 北京时间,保密,认同
负面,2024-06-18 00:26:55 北京时间,保密,说真的，我连我爸都比不得……我爸癌半年多我出去毕业挣钱被裁了……
中立,2024-06-18 02:34:41 北京时间,保密,回复 @蓝精灵_official :你这个反驳是毫无意义的 ，你无法定义这事
中立,2024-04-18 07:07:10 北京时间,保密,我生在贫穷家庭里已经很不高兴了，我再生一个我儿子不把我头拧下来[妙啊]
负面,2024-04-18 08:49:14 北京时间,保密,知足吧!不啃老就不错了!
负面,2024-04-18 11:14:19 北京时间,男,回复 @我是你们的老亚索 : 有老可啃就不错了，多少人想啃都没的啃。（现在的啃老就是说，子女不上班，父母的养老金也能养起子女。）
中立,2024-04-18 13:53:35 北京时间,男,回复 @玛尔蒂娜 : 啃老敢啃吗？你要是啃老你立刻就会被剥夺“人”的资格慢慢的被其他人用钝刀割肉的审视杀死。我们这里是这样的
中立,2024-04-18 14:12:44 北京时间,男,回复 @玛尔蒂娜 : 我要是住在爹妈那里一星期不上班，我爹早上六点就得踹开我房间门熊我了，啃老这事我想都不敢想啊[doge]
负面,2024-04-18 14:17:17 北京时间,男,回复 @无心小蜀黍 :认识个老弟根本不工作，每天就是吃饭做家务，偶尔出去宠物店帮忙洗下宠物赚点零花钱。他爸说了，别出去瞎折腾，老两口的退休金够养他的。（他表亲家的哥哥，创业+买房+结婚负债150+，一堆贷款两口子都不敢要孩子。）
负面,2024-04-18 14:27:03 北京时间,保密,回复 @我是你们的老亚索 : 啃老才是正常人性，和有钱人比穷人啃老算个屁，富三代才是真啃老，买房买车像买菜一样天天换新款，只吃喝玩乐啃老爷爷爸爸就开心了，就怕脑子不正常要创业证明自己，金山银山也不够啃的
负面,2024-04-18 14:35:19 北京时间,男,回复 @我是麻中蓬的狗 :要么外出奋斗背几百万的外债，要么居家啃老多双筷子。如果是你你怎么选择。我们这边，你自己找份工作，平时家里管饭，可以在家住。但是零花钱你要自己出去赚。房和饭是父母管，想换手机买新衣服就出去赚。
中立,2024-04-18 14:36:23 北京时间,保密,回复 @玛尔蒂娜 : 为了还债开始成为卷王，社会卷王+2
中立,2024-04-18 14:38:42 北京时间,男,回复 @玛尔蒂娜 :确实可以这样做，就是他们真的会用那种眼神审视你我真的觉得特别恐怖
负面,2024-04-18 14:42:11 北京时间,男,回复 @一般路过奶德 :卷王还好，然鹅他表哥没本事还好脑子热，19年贷款创业，20年叫他放弃不听。后续你懂的。
负面,2024-04-18 14:44:29 北京时间,男,回复 @我是麻中蓬的狗 :我属于有老啃但是自己死犟的。主要是不想和父母住一起。
中立,2024-04-18 14:51:09 北京时间,男,回复 @玛尔蒂娜 :我是真的不想结婚的那种，我今天跟我爸说我以后不结婚我爸还跟我说为啥不结到时候给我买车买房（我家卖家具的）我就想您老有钱让我有车有房结婚还不如吧那钱花在咱自家人身上
中立,2024-04-18 15:15:58 北京时间,保密,回复 @玛尔蒂娜 : 惨，现在没做基础了解那些就敢直接去创业的那和义务送钱差不多，就算前期做了货源地段这些分析少了人脉翻车的几率也有点点大，主要是投入太大了，现在的市场环境和以前可不一样，通俗的话来说就是一辆车人很多了，想上车你就得有实力把车上的人挤走或者看车上哪个人抽风了自己下来[doge]
中立,2024-04-18 16:24:14 北京时间,保密,"回复 @玛尔蒂娜 : 低端的啃老：班也不上在家当NEET。,高端的啃老：结婚生娃[doge]"
中立,2024-04-19 00:51:01 北京时间,保密,靠老妈的养老金老爹老妈的养老金，那他老爹老妈可得好好活着，活着把他儿子送走。
中立,2024-04-19 00:59:46 北京时间,保密,[笑哭]
负面,2024-04-19 01:22:26 北京时间,保密,回复 @我是麻中蓬的狗 :想结婚也没钱。彩礼20w，房子还有40w贷款，还要买车
中立,2024-04-19 01:32:58 北京时间,保密,"本来想给你点赞的,但是你这个数字很好[脱单doge]"
中立,2024-04-19 02:33:07 北京时间,女,回复 @玛尔蒂娜 : 买房，结婚不就是啃老吗？自己真能攒下钱吗？
中立,2024-04-19 02:34:33 北京时间,保密,你是有B数的[笑哭]
中立,2024-04-19 03:47:07 北京时间,男,回复 @玛尔蒂娜 : 唉，穷人叫啃老，富人叫继承家业
中立,2024-04-19 05:46:52 北京时间,保密,回复 @玛尔蒂娜 :[支持]
负面,2024-04-19 13:41:45 北京时间,保密,我老爸要是可以让我啃老那该有多好啊！可惜他没有
中立,2024-04-20 01:54:37 北京时间,保密,回复 @大不了一丝 : [支持]
正面,2024-04-20 02:18:10 北京时间,保密,主要还是生了二胎三胎的人就没有时间在网上和你们BB了，一胎的可能还有点时间刷刷
正面,2024-04-20 04:28:41 北京时间,保密,还没到年龄，养儿防老还是能防的，不是钱的问题而是老了后腿脚不便甚至老年痴呆瘫痪得有人照顾，如果天天请保姆那一般人还真不一定能负担得起，敬老院好一点但那是几个护工照看很多老人，别的老人家里如果有儿女，护工也怕老人出事儿女去闹也会小心点，如果家里没有儿女护工都不一定能那么上心。除非自己能保证老了后还能腿脚方便能自理直到老死否则养儿女还真能让老了好过点。我就是担心这些还是觉得到时候还是得生
中立,2024-04-20 05:18:27 北京时间,保密,你不知道
负面,2024-04-20 06:28:54 北京时间,保密,每个人的情况都不一样，不能一概而论，我对父母挺孝顺的，不乱花钱，也懂得体谅他们的不易，自己工作赚钱了也会孝敬他们，逗他们开心，所以我觉得结婚生子没那么可怕，有后代挺好的，尤其是老了以后，当然也有一丝害怕，怕自己的孩子不像自己这么孝顺。
中立,2024-04-20 13:44:19 北京时间,保密,兄弟，不啃老就很棒棒的了，我也没啃佬，但是在破产边缘来回弹跳[笑哭]
中立,2024-04-20 17:26:05 北京时间,保密,真的哥，我和你一样的[难过]快毕业了，但凡在家里待得久一点了家里人就无限指点啰嗦说啃老，每天就是被问打算去干什么，我自己都迷茫了
正面,2024-04-20 21:39:34 北京时间,保密,哈哈哈哈哈
负面,2024-04-20 21:39:48 北京时间,保密,有道理有道理
中立,2024-04-21 01:05:18 北京时间,保密,回复 @玛尔蒂娜 : 不得不提我村里跟我同辈的，就我没背债还有点闲钱的，其他严重的赌欠了十几万被人追债上门，好点的欠几万[笑哭]
中立,2024-04-21 03:05:13 北京时间,保密,回复 @帅帅赛巴斯 :我也要努力成为你这样的人[支持][支持][支持]
中立,2024-04-21 04:01:51 北京时间,保密,回复 @玛尔蒂娜 : 日本的宅男思想就是这样，父母的养老补贴养活一家人，包括不结婚的儿女。儿女呢，低欲望，低活动，低消费。情况稍微好一点的家庭，居然每个月还有结余，剩下的钱等父母去世了，保障子女（此时已是孤寡老人）继续过完余生。
负面,2024-04-21 06:07:15 北京时间,男,回复 @我是你们的老亚索 : 我爸妈还等着我给他们还房贷呢
中立,2024-04-21 10:19:16 北京时间,保密,回复 @某水大叔 :哈哈哈绝大部分情况是这样的
中立,2024-04-21 10:32:57 北京时间,保密,回复 @帅帅赛巴斯 : 可能这才是多数人想的吧
中立,2024-04-21 11:35:37 北京时间,保密,回复 @那蓝真天 : 真到了不能自理的那一天，活着也许本身是一种痛苦，而且还得不得不延续下去，自己结束的话，儿女会背上不孝的骂名，反之自己和儿女都受罪，敬老院的护工也许是在儿女来探望那天才对老人好一点。怎么说呢，自己的被欺负，好过自己的孩子被欺负，自己被别人欺负，好过被自己的孩子欺负。
中立,2024-04-21 13:22:32 北京时间,男,回复 @帅帅赛巴斯 : 你扪心自问，自己真的承担的起养父母的责任吗，能负责他们的饮食起居吗，就不提这些了，就最简单的一点，买房的时候能不依靠父母吗？现在很多人的孝顺不过是过年过节看看老人罢了。
中立,2024-04-21 13:51:12 北京时间,女,回复 @玛尔蒂娜 : 我的父母反而来啃我，他们想做事业没钱，就找我要钱
中立,2024-04-21 14:30:53 北京时间,保密,回复 @玛尔蒂娜 : 冷知识，父母如果都是有正规编制的公务员的话退休后养老金加起来一个月能有2-3w
中立,2024-04-21 14:38:29 北京时间,保密,回复 @帅帅赛巴斯 : 你这种就是家里没外债内债的，我一个月收6K，银行拿走4K，我都特害怕自己生病，别说存钱给自己或者父母养老了，别说结婚给的彩礼了，就算未婚先孕给肚子里的孩子检查的费用，我都拿不出来，还生个球球
负面,2024-04-21 14:57:11 北京时间,男,回复 @---時雨 :这知识不冷。不然为啥那么多人想考编
负面,2024-04-21 14:57:45 北京时间,男,回复 @琴の愫 :不要被孝顺拖死自己。
负面,2024-04-21 15:37:04 北京时间,保密,回复 @帅帅赛巴斯 : 我和你不同意见，就是因为我很孝顺，所以很担心自己没法给孩子好环境，让孩子过的不好不开心。
中立,2024-04-21 17:15:50 北京时间,男,回复 @玛尔蒂娜 : 那这个啃老标准还是稍微有点高的- -
负面,2024-04-21 18:02:39 北京时间,保密,回复 @我是你们的老亚索 : 首先你得有老可啃，王思聪也啃老，有人鄙视么？只有羡慕
中立,2024-04-21 23:49:03 北京时间,男,回复 @玛尔蒂娜 : 现在能啃老也是一种运气
中立,2024-04-21 23:50:09 北京时间,男,回复 @我是麻中蓬的狗 : 没事，越往后，失业的越多，能吃饱饭的啃老族说不准就是人生巅峰了[doge]
中立,2024-04-21 23:51:28 北京时间,男,回复 @某水大叔 : 没毛病[脱单doge]
负面,2024-04-22 02:45:22 北京时间,保密,"回复 @我是麻中蓬的狗 :搞笑,那是你觉得"
负面,2024-04-22 04:03:23 北京时间,男,得看父母观念，像我家里不期待我能赚大钱，但一定不能游手好闲，平时工作，缺钱可以管他们要
正面,2024-04-22 05:28:43 北京时间,男,说白了，就是时代不同，局限性不同
中立,2024-04-22 09:37:10 北京时间,保密,回复 @翻滚汤圆r : 孝是社会赋予的，爱才是个人由心而生，老旧观念有点跟不上时代版本了牢底
负面,2024-04-22 09:42:49 北京时间,保密,回复 @Yui平泽唯 :这位更是定义大师，你打的字你自己不会笑出声吗
中立,2024-04-22 11:13:03 北京时间,男,如果我给我自己当儿子，要么我把我气死 要么我把我打死。
负面,2024-04-22 11:55:35 北京时间,男,回复 @81123615960_bili :我们这边老一辈是这样其他地方我不清楚
负面,2024-04-22 12:18:07 北京时间,保密,蚌
中立,2024-04-22 14:15:11 北京时间,男,回复 @玛尔蒂娜 : 做家务啊...如果我也肯做家务 我家里也能养着我 可惜 我懒到极致了...[笑哭]我就是传说中彻彻底底的废人废物那种
